"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-01","3.80","0.00",,"58","45","  290","  230","8.9","13.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-02","8.72","0.23",,"62","44","  290","  300","30.0","40.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-03","7.16","0.08",,"59","47","  300","  330","15.0","19.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-04","3.58","0.00",,"58","42","  290","  250","10.1","16.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-05","4.25","0.00",,"61","44","  310","  300","14.1","18.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-06","10.51","0.13",,"56","40","  300","  280","31.1","42.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-07","6.71","0.00",,"54","38","  320","  360","13.0","18.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-08","4.03","0.00",,"56","37","  240","  350","8.1","12.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-09","9.84","0.03",,"57","47","  290","  310","25.9","35.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-10","13.42","0.13",,"56","40","  310","  310","31.1","48.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-11","5.59","0.00",,"52","41","  320","  330","18.1","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-12","4.70","0.00",,"56","38","  150","  140","12.1","14.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-13","9.17","0.45",,"55","47","  140","  150","16.1","21.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-14","6.04","0.05",,"58","48","  150","  160","16.1","21.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-15","5.59","0.00",,"59","45","   50","  190","13.0","16.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-16","4.03","0.40",,"55","46","  140","  150","16.1","21.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-17","3.58","0.00",,"58","47","  260","  250","10.1","14.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-18","4.47","0.00",,"60","45","   70","   70","12.1","14.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-19","5.82","0.11",,"58","48","   80","  150","15.0","19.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-20","10.29","0.17",,"60","54","  150","  140","17.0","21.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-21","12.30","0.51",,"61","53","  160","  130","21.9","30.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-22","7.61","0.77",,"59","53","  150","  140","19.9","32.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-23","4.70","0.00",,"59","52","  270","  300","16.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-24","10.29","0.43",,"60","53","  160","  120","21.0","30.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-25","4.25","0.00",,"60","46","  270","  260","12.1","17.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-26","3.36","0.00",,"62","49","   70","   80","10.1","13.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-27","3.80","0.00",,"62","51","   70","   80","14.1","15.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-28","4.03","0.00",,"66","52","  170","   80","16.1","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-29","3.80","0.00",,"71","48","  300","  300","13.0","15.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-30","4.25","0.00",,"68","53","  300","  130","12.1","16.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-01-31","17.90","0.55",,"60","53","  160","  150","30.0","49.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-01","6.26","0.34",,"59","50","  280","  240","17.0","21.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-02","9.17","0.31",,"59","48","  250","  290","19.9","29.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-03","7.61","0.37",,"57","47","   80","   80","18.1","32.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-04","21.25","0.60",,"60","47","  170","  140","40.9","61.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-05","9.84","0.27",,"59","50","  200","  140","23.9","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-06","5.59","0.00",,"58","43","  290","  270","16.1","21.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-07","13.20","0.47",,"55","42","  300","  280","38.0","47.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-08","4.47","0.00",,"55","36","  340","  340","10.1","14.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-09","3.58","0.00",,"56","39","  280","  270","14.1","17.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-10","6.93","0.00",,"61","43","  250","  240","15.0","19.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-11","5.59","0.00",,"60","45","  310","  300","13.0","17.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-12","4.70","0.00",,"59","42","  280","  280","12.1","14.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-13","4.47","0.00",,"57","43","  170","  290","12.1","15.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-14","9.62","0.17",,"59","48","  170","  180","21.9","27.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-15","6.26","0.00",,"61","49","  150","  140","14.1","16.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-16","3.36","0.00",,"58","48","  270","  250","10.1","14.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-17","10.74","0.28",,"58","52","  160","  150","23.0","40.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-18","11.41","0.27",,"68","48","  150","  140","25.1","45.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-19","17.45","0.15",,"63","54","  170","  170","30.0","42.1","    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-20","7.61","0.34",,"60","50","  280","  290","23.0","31.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-21","5.37","0.00",,"60","45","  150",,"12.1",,"    1","    1",,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-22","4.47","0.00",,"62","46","  290","  280","12.1","14.1",,,,
